CompanyName,TelNum,Address,Latitude,Longitude
Fasiliti Inovasi Kitar Semula - FIKS (Cawangan AFES),013-4642619,"No. 1, Fasiliti Inovasi Kitar Semula (FIKS), Jalan P5B, Presint 5, 62200 Putrajaya (Bersebelahan dengan IWK STP 2 (Indah Water Konsortium",2.8867169,101.6867779
Foo Sun Trading Sdn Bhd,06-7636163 / 5163,"No. 7, Jalan Bunga Raya 4, Kawasan Perindustrian Taman Tasik Jaya, 70450 Seremban, Negeri Sembilan",2.7184183,102.002855
Gabungan Penaga (M) Sdn Bhd,06-384 8211 / 012-275 3384,"Lot A-11, Kawasan Perindustrian Miel Masjid Tanah, Fasa 1, Pengkalan Balak, 78300 Masjid Tanah, Melaka",2.33494,102.07955
Gantang Tinggi Sdn Bhd Plo 15,011-2762 5772,"PLO 15, PTD 10068, Kawasan Perindustrian 11, 85000 Segamat, Johor",2.4922343,102.8651458
Gantang Tinggi Sdn Bhd Plo 44,011-2762 5772,"PLO 44, PTD 10035, Kawasan Perindustrian 2, Jalan Labis, 85000 Segamat, Johor",2.4648963,102.9147835
Golden Star Industries Sdn Bhd,016-3966 989,"9709-D, Jalan PBR 9, Kawasan Perindustrian Bukit Rambai Fasa 2, 75250 Melaka",2.2687931,102.1766653
Grand Senheng 1 Lagenda,016-2991398,"Lot No. 2, Jalan Lagenda 3, Taman 1 Lagenda, 75400 Melaka.",2.2111427,102.2471145
Grand Senheng Ipoh 40-42,016-2991398,"40 – 42, Lebuh Medan Ipoh, Bandar Baru Medan Ipoh ,31400 Ipoh, Perak",4.6146339,101.1201972
Grand Senheng Kajang,016-2991398,"No 62-64, Jalan Raja Haroun, Bandar Kajang, 43000 Kajang, Selangor Darul Ehsan",2.9921807,101.7912647
Grand Senheng Kemaman,016-2991398,"PT 11268 (G)- PT 11269 (G) ,Tingkat 1 & 2, Taman Cukai Utama , Jalan Kubang Kurus ,24000 Kemaman, Terengganu",4.2215868,103.418659
Grand Senheng Kluang,016-2991398,"No.15 Ground Floor &First Floor, Jalan Ciku 68000 Kluang, Johor",2.0384541,103.3194136
Grand Senheng Muar,016-2991398,"31-3G & 31-4G, Jalan Ali,84000 Muar, Johor",2.0465854,102.5688729
Grand Senheng Pandan Jaya 42-44,016-2991398,"42B & 44B, Jalan Pandan 3/2, Pandan Jaya, 55100 Kuala Lumpur",3.133492,101.7402878
Grand Senheng Pasir Puteh,016-2991398,"No. 505 – 507, Jalan Pasir Puteh, Pasir Puteh, 31650 Ipoh, Perak",4.5789836,101.081557
Grand Senheng Pendamaran 89-91-93,016-2991398,"89, 91 & 93, Jln. Batu Unjur Taman Chi Liung, Pandamaran 42000 Port Klang, Selangor",3.015433,101.4280613
Grand Senheng Rawang,016-2991398,"No. 53, 55 & 57, Jalan Bandar Rawang 2 48000 Rawang Selangor Darul Ehsan",3.3241475,101.5775528
Grand Senheng Semenyih,016-2991398,"2G, 2A-G Jalan TPS 1/2 Taman Pelangi Semenyih 43500 Semenyih, Selangor",2.9316115,101.8552218
Grand Senheng Senawang,016-2991398,"No.93,94,95 (Ground/1st Floor) ,Jalan BPS 5, Bandar Prima Senawang 70450 Seremban, N.S",2.7024617,101.9798969
Grand Senheng Setia Alam,016-2991398,"LOT 6-1, 6-2, 7, 7-1,7-2, 8, 8-1 No. 1 Jalan Setia Prima WU13/W Seksyen U13, Setia Alam 40170 Shah Alam, Selangor",3.0938028,101.4449817
Grand Senheng Shah Alam 105,016-2991398,"No. 105, Jalan Pelabur B 23/B, Section 23, 40300 Shah Alam, Selangor",3.047954,101.5278269
Grand Senheng Sitiawan,016-2991398,"1D, Ground Floor ,Taman Sitiawan Maju II Jalan Lumut, 32000 Sitiwan, Perak",4.2158308,100.6931231
Grand Senheng Taiping,016-2991398,"No. 1-3, Jalan Medan Taiping, Medan Taiping, 34000 Taiping, Negeri Perak",4.8493199,100.7312924
"Grand Senheng Tun Aminah, Skudai",016-2991398,"No. 47, 47A, 47B, Jalan Pendekar 15 ,Taman Ungku Tun Aminah ,81300 Skudai, Johor",1.5157564,103.654484
Green Earth Metal Industrial Sdn Bhd,"08-2616179, 012-8087179","Lot 2501, Block 226, 5th Mile, Jalan kong Ping, 93350 Kuching Sarawak",1.4988558,110.3225563
Green Resource Recovery Sdn Bhd,04-9161404,"Plot 19, Darul Aman Industrial Estate Bandar Darul Aman, 06000 Jitra Kedah",6.2360818,100.4242039
